address,latitude,longitude
4 rue de la gare | 67580 mietesheim,48.8817829,7.6647159
am dämmig 10 | 37339 teistungen,51.4692911,10.276688143259454
vasoldsberg 59 | 8071 hausmannstätten,46.9938323,15.5183179
renetshamer weg 47 | 4910 ried im innkreis,48.2120431,13.465326811139825
hauptstrasse 11 | 34626 neukirchen,50.910774700000005,9.357811435903646
bizantweg 7 | 9800 spittal an der drau,46.787986000000004,13.517332550162717
chemnitzer strasse 9 | 49078 osnabrück,52.2441344,7.9796407
diebacher strasse 4 | 97762 hammelburg,50.127202499999996,9.84111245465575
sonnenbergstrasse 42 | 66484 schmitshausen,49.306043349999996,7.51721946368613
am lehmen 18 | 97346 iphofen,49.6837624,10.310210652340334
abendgrundweg 1 | 78089 unterkirnach,48.08097145,8.356858306193987
sommerseite 20 | 77889 seebach,48.5788539,8.1750715
mollandserstrasse 14 | 3562 schönberg,48.514511,15.692374837669686
,44.933143,7.540121
leipziger strasse 7 | 63526 erlensee,50.158881550000004,8.991821385456113
markwerbener strasse 30 | 06667 weißenfels,51.2117114,11.955204250000001
marburger strasse 71 | 8435 wagna,46.771922700000005,15.558699239174667
sankt-urban-strasse 22 | 3481 fels am wagram,48.439195749999996,15.814021358373346
köbbingser mühle 2 | 58640 iserlohn,51.42322485,7.705117575807543
roseggerstrasse 134 | 8670 krieglach,47.5524186,15.5736519
andreasberger strasse 10 | 38678 clausthal-zellerfeld,51.798529200000004,10.341671744753892
unter-markersdorf 11 | 2061 hadres,48.70930445,16.11276786658997
lenneper strasse 33 | 42289 wuppertal,51.2685658,7.233901511400646
großwiesendorf 22 | 3701 großweikersdorf,48.4477457,15.9863948
bahnstrasse 3 | 3483 feuersbrunn,48.4351336,15.777545000634419
kirchenstrasse 79 | 67069 ludwigshafen,49.519206350000005,8.39699494444112
pöchlarner strasse 34 | 3251 purgstall,48.0602987,15.133214728493638
alter markt 15 | 5211 friedburg,48.0189639,13.245513722335026
mairegasse 12 | 2700 wiener neustadt,47.83251625,16.259094057467056
hohenwarth 26 | 3472 hohenwarth,48.5063862,15.8275736
frauenbrunner strasse 25 | 75031 eppingen,49.13339405,8.899897899717551
talstrasse 32a | 40217 düsseldorf,51.2157959,6.778940056852971
klosterhagen 20 | 21029 hamburg,53.4962008,10.216691086987115
eifeler strasse 4 | 51702 bergneustadt,51.025966249999996,7.643663499999999
raabau 1 | 8330 feldbach,46.9548504,15.9176667
eckerkamp 36 | 22391 hamburg,53.634308250000004,10.072453053806907
welfenstr. 2 | 65189 wiesbaden,50.06748585,8.251338943547628
karl-marx-strasse 49 | 12043 berlin,52.4835581,13.4308639
ostpreußendamm 140 | 12207 berlin,52.4233859,13.314177823651685
bergstrasse 1a | 87437 kempten,47.7034947,10.3230412
pischeldorfer strasse 171 | 9020 klagenfurt,46.63778235,14.335550538102495
site de la paix | 57440 algrange,49.350630699999996,6.038082652860298
herrengasse 3 | 3491 straß im straßertale,48.4726772,15.733193252710311
edewechter landstrasse 80 | 26131 oldenburg,53.128331599999996,8.177768843602857
bahnhofstrasse 46 | 34414 warburg,51.493000249999994,9.1581023395472
wimhölzelstrasse 20 | 4020 linz,48.295016399999994,14.314665555214727
sonnenberger strasse 33 | 6820 frastanz,47.2166855,9.644355770506541
schiefbahner strasse 3 | 41748 viersen,51.2651214,6.4061909
pittlerstrasse 65 | 63225 langen,50.0023298,8.648901436213125
im gründchen 1 | 61389 schmitten,50.303049,8.458165800000002
steig 282 | 6951 lingenau,47.45179415,9.929119992791978
währinger strasse 68 | 1090 wien,48.2234113,16.3517589
hauptstrasse 108 | 8740 zeltweg,47.1907965,14.746001828904946
alois-gäßl-strasse 1 | 84347 pfarrkirchen,48.4301489,12.9426771
rennbahnstrasse 2 | 66822 lebach,49.408125299999995,6.894918631773179
landvogtweg 14 | 6830 rankweil,47.27683905000001,9.647601210593436
penzinger strasse 69 | 1140 wien,48.1895188,16.3028702
haunsbergstrasse 6 | 5165 berndorf bei salzburg,47.9963137,13.060549946357366
hauptstrasse 74 | 3484 grafenwörth,48.405165350000004,15.810760005882358
kleine zeile 8 | 2172 schrattenberg,48.726299850000004,16.72126850266854
altstadt 16 | 2460 bruck an der leitha,48.0223847,16.775374682535713
am hof 11 | 1010 wien,48.2116177,16.3684599
müller-zu-bruck-strasse 3 | 83052 bruckmühl,47.88198695,11.913703686151136
gernewitzer strasse 47 | 07646 stadtroda,50.868085199999996,11.695405372235031
hüttenstr. 14 | 01705 freital,51.00554605,13.648561597202658
hainanger 25 | 04626 schmölln,50.90222075,12.350785706223517
wittestrasse 30 | 13509 berlin,52.5802081,13.2936726
claus-bastian-strasse 7 | 86919 utting,48.012765,11.0922303
zugspitzstrasse 101 | 82467 garmisch-partenkirchen,47.4873123,11.0708187
hauptstr. | 84576 teising,48.2273224,12.6149273
am kreuzweg 8 | 36304 alsfeld,50.73684955,9.288370716246671
dambroicher weg 3-5 | 53757 sankt augustin,50.7519153,7.2244907
ammannstrasse 9 | 97450 arnstein,49.9502569,10.008355
önsbacher str. 40 | 77855 achern,48.5953548,8.0585914
hans-hertlein-strasse 6 | 91346 wiesenttal,49.81074285,11.222866521993165
mühlental 17 | 56330 kobern-gondorf,50.3122272,7.4542479
gürtelstrasse 36 | 10247 berlin,52.510503,13.4744977
unterlandstrasse 50 | 63911 klingenberg,49.7687214,9.1840362
zur ölmühle 1 | 37671 höxter,51.83765755,9.334995927974912
an der birkenpfuhlheide 2 | 15837 baruth/mark,52.065541,13.5120467
bahnhofstrasse 43 | 96257 redwitz,50.1705207,11.2107041
luisenweg 109 | 20537 hamburg,53.5494811,10.0471857
elsenstrasse 109 | 12435 berlin,52.4901146,13.4558556
am exerzierplatz 1a | 68167 mannheim,49.503275900000006,8.49427464906002
vazaninistrasse 11 | 85567 grafing,48.0466738,11.9649258
sägerstrasse 100 | 6890 lustenau,47.4186375,9.672136059042554
robert-bosch-strasse 29a | 88131 lindau,47.5503222,9.7272804
wilthener strasse 32 | 02625 bautzen,51.1686092,14.421770683123569
richard-sorge-strasse 79 | 10249 berlin,52.5187805,13.448255
lindenstr. 68 | 57627 hachenburg,50.6555223,7.8019457773682195
graf-heinrich-str. 27 | 57627 hachenburg,50.6687025,7.8073353
herbert-kühn-strasse 10 | 55481 kirchberg,49.949931,7.4113422
leopoldstrasse 10 | 92224 amberg,49.4334969,11.8812503
blümchensaal 1b | 21337 lüneburg,53.2442308,10.4213007
am fuchsloch 19 | 04720 mochau,51.1131833,13.17882925000001
inselsbergstrasse 18 | 99891 schwarzhausen,50.89849965,10.47427675
aumatalweg 3 | 07570 weida,50.7712336,12.047184951207601
delitzscher strasse 72c | 06112 halle,51.4788068,11.9999761
butterberg 3 | 21279 drestedt,53.3326842,9.7527614
lange strasse 60 | 72336 balingen,48.256776200000004,8.84856285
eichenstrasse 19 | 82396 fischen,47.92480205,11.159206039474828
wesermünder strasse 9 | 40221 düsseldorf,51.2155137,6.735704364320399
romaneystrasse 11 | 51063 köln,50.9683214,7.0233280960862
